Time,Acceleration,PWM
0.0,1.960357666015625,13824.0
0.09999999999999964,1.931427001953125,20000.0
0.19999999999999973,23.31452178955078,20000.0
0.2999999999999998,47.53327941894531,13824.0
0.3999999999999999,16.775177001953125,13824.0
0.5,2.112266540527344,13824.0
0.5999999999999996,1.9386520385742188,13824.0
0.6999999999999997,1.9097213745117188,13824.0
0.7999999999999998,1.953125,19000.0
0.8999999999999999,18.31597137451172,19000.0
1.0,47.96730041503906,13824.0
1.0999999999999996,27.16291046142578,13824.0
1.1999999999999997,2.5245895385742188,13824.0
1.2999999999999998,1.960357666015625,13824.0
1.4,1.9386520385742188,13824.0
1.5,1.960357666015625,18000.0
1.5999999999999996,11.993637084960938,18000.0
1.7000000000000002,40.53096008300781,13824.0
1.7999999999999998,35.06221008300781,13824.0
1.8999999999999995,3.002021789550781,13824.0
2.0,2.0110015869140625,13824.0
2.0999999999999996,1.953125,13824.0
2.2,1.9241943359375,6500.0
2.3,-10.19965362548828,6500.0
2.4000000000000004,-69.43721008300781,13824.0
2.5,-37.78935241699219,13824.0
2.5999999999999996,0.6944427490234375,13824.0
2.7,1.960357666015625,13824.0
2.8,1.931427001953125,13824.0
2.9000000000000004,1.9241943359375,7000.0
3.0,-4.694732666015625,7000.0
3.0999999999999996,-67.54196166992188,13824.0
3.2,-35.011573791503906,13824.0
3.3,0.5570068359375,13824.0
3.4000000000000004,1.9024810791015625,13824.0
3.5,1.8807907104492188,13824.0
3.5999999999999996,1.9097213745117188,13824.0
3.7,1.9820556640625,20000.0
3.8,3.776039123535156,20000.0
3.9000000000000004,52.89352416992188,13824.0
4.0,30.61341857910156,13824.0
4.1,2.712677001953125,13824.0
4.2,2.018226623535156,13824.0
4.3,1.9097213745117188,13824.0
4.4,1.960357666015625,19000.0
4.5,2.228012084960937,19000.0
4.6,46.79542541503906,19000.0
4.7,36.5234375,13824.0
4.8,19.842300415039062,13824.0
4.9,2.452255249023437,13824.0
5.0,1.931427001953125,13824.0
5.1,1.916954040527344,13824.0
5.2,1.945892333984375,18000.0
5.3,1.974822998046875,18000.0
5.4,37.76040649414063,13824.0
5.5,40.71903991699219,13824.0
5.6,5.787040710449219,13824.0
5.699999999999999,1.974822998046875,13824.0
5.800000000000001,1.989295959472656,13824.0
5.9,1.9820556640625,6500.0
6.0,-70.95630645751953,6500.0
6.1,-47.72858428955078,13824.0
6.199999999999999,-2.734375,13824.0
6.300000000000001,1.974822998046875,13824.0
6.4,1.9386520385742188,13824.0
6.5,1.960357666015625,13824.0
6.6,1.974822998046875,7000.0
6.699999999999999,-69.93634033203125,7000.0
6.800000000000001,-45.96354293823242,13824.0
6.9,-3.3420181274414062,13824.0
7.0,1.8663177490234373,13824.0
7.1,1.960357666015625,13824.0
7.200000000000001,1.9386520385742188,13824.0
7.300000000000001,1.9675979614257808,13824.0
7.4,1.916954040527344,20000.0
7.5,47.87326049804688,20000.0
7.6,38.99015808105469,13824.0
7.700000000000001,5.179389953613281,13824.0
7.800000000000001,1.974822998046875,13824.0
7.9,1.9241943359375,13824.0
8.0,1.945892333984375,13824.0
8.1,1.945892333984375,19000.0
8.200000000000001,37.46383666992188,19000.0
8.3,42.65769958496094,13824.0
8.4,9.042251586914062,13824.0
8.5,2.003768920898437,13824.0
8.6,1.974822998046875,13824.0
8.700000000000001,1.960357666015625,13824.0
8.8,1.960357666015625,18000.0
8.9,28.56626892089844,18000.0
9.0,40.84201049804688,13824.0
9.1,14.908851623535156,13824.0
9.200000000000001,2.090560913085937,13824.0
9.3,1.8807907104492188,13824.0
9.4,1.916954040527344,13824.0
9.5,1.953125,6500.0
9.6,-54.75260162353516,6500.0
9.700000000000001,-55.222801208496094,13824.0
9.8,-12.087669372558594,13824.0
9.9,1.7939834594726562,13824.0
10.0,1.8807907104492188,13824.0
10.1,1.8807907104492188,13824.0
10.200000000000001,1.9241943359375,7000.0
10.3,-49.08130645751953,7000.0
10.4,-55.99681854248047,13824.0
10.5,-11.002609252929688,13824.0
10.6,1.8590774536132808,13824.0
10.700000000000001,1.960357666015625,13824.0
10.8,1.9820556640625,13824.0
10.9,1.888023376464844,13824.0
11.0,1.9386520385742188,20000.0
11.1,30.157699584960938,20000.0
11.200000000000001,46.129913330078125,13824.0
11.3,13.816543579101562,13824.0
11.4,2.0688629150390625,13824.0
11.5,1.9386520385742188,13824.0
11.6,1.960357666015625,13824.0
11.700000000000001,1.945892333984375,19000.0
11.8,21.39756774902344,19000.0
11.9,46.54946899414063,13824.0
12.0,22.2366943359375,13824.0
12.1,2.155670166015625,13824.0
12.200000000000001,1.9675979614257808,13824.0
12.3,1.9820556640625,13824.0
12.4,1.9820556640625,18000.0
12.5,15.270545959472656,18000.0
12.6,40.47309875488281,18000.0
12.700000000000001,37.57957458496094,13824.0
12.8,18.31597137451172,13824.0
12.9,2.1773681640625,13824.0
13.0,1.916954040527344,13824.0
13.1,1.9241943359375,13824.0
13.200000000000001,1.953125,6500.0
13.3,-16.370079040527344,6500.0
13.4,-59.93923568725586,13824.0
13.5,-23.43026733398437,13824.0
13.6,1.4612350463867188,13824.0
13.700000000000001,1.9024810791015625,13824.0
13.799999999999999,2.0110015869140625,13824.0
13.9,1.8590774536132808,7000.0
14.000000000000002,-10.235824584960938,7000.0
14.1,-67.23090362548828,13824.0
14.200000000000001,-31.04022216796875,13824.0
14.299999999999999,1.2586822509765625,13824.0
14.4,1.9024810791015625,13824.0
14.500000000000002,1.916954040527344,13824.0
